KER,EPI,DRM,DEJ
253,166.0,,
252,166.0,,
252,166.0,,
252,166.0,,
249,169.0,,
247,175.0,,
245,181.0,,
244,185.0,,
244,194.0,,
245,192.0,,
247,188.0,,
249,184.0,,
253,181.0,,
253,180.0,,
253,179.0,,
253,179.0,,
253,177.0,,
253,177.0,,
253,178.0,,
253,178.0,,
253,177.0,,
253,176.0,,
252,175.0,,
250,174.0,,
246,177.0,,
240,177.0,,
235,176.0,,
235,176.0,,
230,177.0,,
226,179.0,,
227,181.0,,
234,182.0,,
242,181.0,,
248,181.0,,
250,181.0,,
252,180.0,,
253,178.0,,
253,175.0,,
253,172.0,,
253,170.0,,
253,167.0,,
254,165.0,,
254,162.0,,
253,163.0,,
253,167.0,,
253,172.0,,
253,176.0,,
251,178.0,,
250,176.0,,
248,174.0,,
244,171.0,,
238,172.0,,
231,164.0,,
226,168.0,,
224,170.0,,
221,173.0,,
219,172.0,,
223,169.0,,
232,168.0,,
240,170.0,,
244,175.0,,
246,181.0,,
247,186.0,,
248,194.0,,
248,189.0,,
249,182.0,,
250,176.0,,
251,172.0,,
252,172.0,,
253,174.0,,
253,176.0,,
253,177.0,,
253,177.0,,
253,178.0,,
254,178.0,,
254,177.0,,
254,175.0,,
255,173.0,,
255,171.0,,
255,175.0,,
253,175.0,,
251,175.0,,
249,176.0,,
247,177.0,,
247,180.0,,
246,182.0,,
244,184.0,,
242,183.0,,
239,183.0,,
233,183.0,,
225,182.0,,
220,180.0,,
215,177.0,,
214,174.0,,
216,172.0,,
222,171.0,,
230,167.0,,
236,163.0,,
238,162.0,,
238,165.0,,
238,169.0,,
239,172.0,,
240,173.0,,
241,174.0,,
244,172.0,,
246,171.0,,
248,172.0,,
250,177.0,,
253,183.0,,
253,187.0,,
253,189.0,,
254,183.0,,
254,174.0,,
254,164.0,,
254,161.0,,
254,165.0,,
254,169.0,,
252,171.0,,
252,170.0,,
253,162.0,,
252,158.0,,
249,155.0,,
246,156.0,,
242,161.0,,
240,166.0,,
240,168.0,,
239,168.0,,
238,157.0,,
237,154.0,,
234,151.0,,
229,150.0,,
223,151.0,,
218,152.0,,
212,151.0,,
212,151.0,,
215,152.0,,
222,153.0,,
229,153.0,,
233,153.0,,
232,152.0,,
229,149.0,,
228,146.0,,
228,144.0,,
229,136.0,,
232,135.0,,
235,134.0,,
239,135.0,,
242,173.0,,
244,166.0,,
251,164.0,,
251,163.0,,
252,164.0,,
253,168.0,,
